delta_rho,top5_mass,sigma_i
22.62600903808886,0.4942758426717558,0.6287402710622578
19.74572524919495,0.43459789200482063,0.5142843818382687
21.03979979152944,0.4116774383902462,0.5063403646767903
11.154102330975817,0.3716784755195585,0.3236888181505345
24.999695888336532,0.42094433511016216,0.4251647089470078
21.32550170739077,0.4939630161796839,0.428371647075462
25.239727145666667,0.5140539698899934,0.6688954040914095
23.94823197357675,0.49555420565589164,0.5864222223070369
24.476983840420907,0.5336734549149152,0.5223750125236374
24.332601134808456,0.5313039468329472,0.5192922113894867
13.915170321527782,0.3839639640017547,0.24209274507881823
19.62578799251194,0.4678202928522365,0.5216413973107876
29.051664664387705,0.48550392230129774,0.663695919661404
24.541063964949657,0.4693976356822897,0.6097104841674157
28.365592310924768,0.4787856188755325,0.726794822525358
22.72387771825591,0.4567293998907193,0.5955356759782646
25.539668913705196,0.49400341165636774,0.6686671900267351
23.867820951999068,0.48810168377119456,0.5634012377894776
8.16084562732972,0.3120850119611405,0.33086093447290726
31.95026380704501,0.42888465120366087,0.47627268172888276
24.69932452414028,0.5298732166793745,0.7647176116716267
28.06149508309641,0.48894522907454674,0.6766286095572676
25.71302625167614,0.4693908349897302,0.6348469116254981
26.43571959531506,0.5287418617970531,0.663890056203067
11.496713619395827,0.3717825884725458,0.23720629807760993
14.453967644143766,0.43262452754500197,0.3584688900014901
12.257073658706048,0.3034324501829012,0.47785817148579673
24.658313645836593,0.5120989255917605,0.5724162300106255
10.136539166012572,0.31861746293043297,0.31655639477087866
23.380208491789887,0.4364279629590412,0.6908430507099749
25.29481390746956,0.5261219498271825,0.1654067080572677
23.427816799826598,0.4931154704211969,0.5757972471042683
31.72169940258655,0.49854499286281917,0.6751750757918893
26.17284575570056,0.5051318358390574,0.6275339212002331
21.9325065954328,0.4557471347758355,0.5269587291110819
9.409840603715594,0.34260837478940936,0.3921991268437279
29.025148807529472,0.4893412531596562,0.6503014877420384
26.38180068322888,0.4774157682456206,0.711762210008863
12.871391545396285,0.35429973374552154,0.2944840695329241
27.476529013099498,0.5356690465532138,0.546131546879284
10.515791182704227,0.3514102417928904,0.36895729093642493
23.660574908600438,0.46541850817406594,0.4945255947350434
27.382471713384867,0.49719372657094724,0.6496039313336879
25.912930764270385,0.4643440009461626,0.5997783821240493
24.085039594394832,0.48621410205574483,0.711325199522637
26.63123169090015,0.42741507671645895,0.5638793877270838
12.879506871544354,0.36950097261895765,0.40761437381499965
15.01056332063062,0.407431627367664,0.41153939753327795
16.427639175314724,0.37289454590277826,0.5601442119373506
27.272348724274405,0.5607083157831041,0.5637098468151394
18.096926675477043,0.39095171296081055,0.4633425345396678
23.85090767608276,0.47153580412655427,0.6356801342529271
10.748921078554314,0.30954570679885934,0.42149526618633876
17.161452871458955,0.40047353977356515,0.5182972120951298
25.567706022014523,0.5040410130959871,0.399671304035753
28.065833601438637,0.516435987593447,0.7119218232485501
20.498825769205954,0.46379524343351386,0.6937542000310061
20.355558843505055,0.4596205031205399,0.5676958785196679
23.231591248674498,0.4857302292957458,0.5780239175397714
27.707488620324895,0.47241714365487736,0.48841978211605236
28.80239664547965,0.5052957033710104,0.6047566559979257
26.112289321826697,0.5318988172537874,0.570230862501417
13.143849195461605,0.3910859869762359,0.2522697683950936
13.16568176947952,0.3365870634651911,0.481308455797085
22.282198546346297,0.46495860180685833,0.5008490204142978
28.74392318348089,0.4554509934654627,0.633935306534937
19.499093566082337,0.4349249274051393,0.6012902829860568
18.534828071228258,0.3928056617342214,0.4982808493977772
24.972369009030057,0.5205200064411345,0.49532844159946454
28.175301830243242,0.4821357071101196,0.7524889077208553
27.14681982198556,0.5157499471947337,0.69968079860669
21.749964150043105,0.4728473543435051,0.6684278164778058
13.293040088009427,0.3731195469594151,0.34529833067649507
23.050166955005512,0.4606877268343282,0.5505643707539005
22.333645690496486,0.48225830377434525,0.5270301932550431
27.46490678405352,0.4685554232569991,0.5064305166196956
30.60476970889283,0.5397674155501573,0.5308245268324469
14.641391019226237,0.35382098929830214,0.4897353680966146
16.17268386439192,0.41534078189605844,0.351712065679069
13.618161089475954,0.39359482261623213,0.39464465761895506
23.641228319834436,0.4863586033847509,0.8249570372288368
20.28000598023586,0.43760392683297156,0.5317157225771368
20.921657914754466,0.46172534212504823,0.5070191719320751
25.961630889488408,0.5338616442662749,0.7569030242183924
16.83204607177905,0.36997781605366875,0.4853920136961702
26.33575802127557,0.5596070727968165,0.5603186076353794
23.096181494212054,0.49993996942045815,0.4857553834270615
30.263147513468148,0.48480018914612694,0.7093290804502852
15.205379159993697,0.4196257667882455,0.2448748534603643
26.554028471155984,0.5021894324707983,0.6229116110538974
26.42049070131584,0.5373470275613847,0.5254535965471644
28.26000704937911,0.4720352483061556,0.6777017872114073
19.029213104689696,0.41087404671446165,0.48642836932977307
20.856168439697683,0.46671697865537326,0.5129591042483508
14.368311017385402,0.3685925994449267,0.4424803041705721
31.04178629350395,0.4501792265659325,0.67693133051622
23.851265439559246,0.5042074090267545,0.516332653750178
27.60870565476729,0.475147639907352,0.6375303686204177
22.86763542536706,0.44005556290933157,0.6104380749732126
15.060691851380827,0.3925607669837492,0.4481280708970033
28.5839947951923,0.47991771368578307,0.6905313369843489
22.32758622673571,0.4892241841149632,0.5361094895548929
12.903274570798413,0.36966496723963127,0.24219153121399606
18.728117142244614,0.41078081121149085,0.4552623957730833
24.180527495181458,0.5027862512629402,0.6480244336396939
8.301838234183336,0.3029989434652125,0.31970839906813
25.00461282947545,0.4904383246136217,0.5341953725433357
24.50679695263978,0.42390169275858114,0.40451677515902207
25.452476075878106,0.495793324351621,0.4700849602414764
13.523542165614597,0.39914640304735577,0.2153235068992267
22.073491932527045,0.4258549134654933,0.4305519893779268
19.354458706978036,0.45850233954940045,0.4698711214494174
36.00544002345646,0.4493174584210745,0.48006957762534525
19.36487034833888,0.4329368015379417,0.5093017368269525
25.419973949470368,0.5101174983564866,0.5822363632672822
19.585892768297793,0.4648920720604018,0.43582313212985646
16.34733133110225,0.3833652687975785,0.3595392143182468
25.93902104807789,0.5433247463767495,0.5526387034869445
18.444256783706223,0.3893024895195337,0.3961690288445739
21.343267723345072,0.47699503527818754,0.5944942029568705
