model,group,k,no_mean,no_std,trust_mean,trust_std
dur_3s_backheavy,duration,182,0.4704395604395604,0.0,0.8552486160456085,0.0
dur_3s_backheavy,duration,183,0.4705704918032787,0.0,0.8548326638926489,0.0
dur_3s_backheavy,duration,184,0.4706586956521739,0.0,0.8544309685161091,0.0
dur_3s_backheavy,duration,185,0.4707145945945946,0.0,0.853979420272587,0.0
dur_3s_backheavy,duration,186,0.470752688172043,0.0,0.8534805456249807,0.0
dur_3s_backheavy,duration,187,0.4708053475935829,0.0,0.8530332964239894,0.0
dur_3s_backheavy,duration,188,0.47077659574468084,0.0,0.8526233690226859,0.0
dur_3s_backheavy,duration,189,0.47076402116402116,0.0,0.8521792441680758,0.0
dur_3s_backheavy,duration,190,0.47087052631578946,0.0,0.8517533492969853,0.0
dur_3s_backheavy,duration,191,0.4709560209424084,0.0,0.8513199442410628,0.0
dur_3s_backheavy,duration,192,0.470996875,0.0,0.8508792879351322,0.0
dur_3s_backheavy,duration,193,0.4710860103626943,0.0,0.8504332931826728,0.0
dur_3s_backheavy,duration,194,0.4711618556701031,0.0,0.8499888945771458,0.0
dur_3s_backheavy,duration,195,0.4712205128205128,0.0,0.849535580119917,0.0
dur_3s_backheavy,duration,196,0.47133673469387755,0.0,0.8490588301482116,0.0
dur_3s_backheavy,duration,197,0.47139289340101526,0.0,0.8485924111925429,0.0
dur_3s_backheavy,duration,198,0.4714373737373737,0.0,0.8481693830067558,0.0
dur_3s_backheavy,duration,199,0.4714412060301508,0.0,0.8477317210512639,0.0
dur_3s_backheavy,duration,200,0.471514,0.0,0.8473109328888065,0.0
dur_3s_equal,duration,1,0.6432,0.0,0.9943224371803424,0.0
dur_3s_equal,duration,2,0.5968,0.0,0.9903881750931642,0.0
dur_3s_equal,duration,3,0.5524,0.0,0.986513782229642,0.0
dur_3s_equal,duration,4,0.52035,0.0,0.9818913200824008,0.0
dur_3s_equal,duration,5,0.49704,0.0,0.9787711229946524,0.0
dur_3s_equal,duration,6,0.4784,0.0,0.9766028349031192,0.0
dur_3s_equal,duration,7,0.4642857142857143,0.0,0.973468989469324,0.0
dur_3s_equal,duration,8,0.453925,0.0,0.9708259693165969,0.0
dur_3s_equal,duration,9,0.4462,0.0,0.9690853489122075,0.0
dur_3s_equal,duration,10,0.43836,0.0,0.9672182610152454,0.0
dur_3s_equal,duration,11,0.4334,0.0,0.9656161582299698,0.0
dur_3s_equal,duration,12,0.4287,0.0,0.9641249371121918,0.0
dur_3s_equal,duration,13,0.4262,0.0,0.9623823094131819,0.0
dur_3s_equal,duration,14,0.42374285714285714,0.0,0.9610983476821986,0.0
dur_3s_equal,duration,15,0.42108,0.0,0.9596107192177061,0.0
dur_3s_equal,duration,16,0.4194,0.0,0.9581893659328964,0.0
dur_3s_equal,duration,17,0.41810588235294116,0.0,0.9570663528356871,0.0
dur_3s_equal,duration,18,0.4164111111111111,0.0,0.9558039310967822,0.0
dur_3s_equal,duration,19,0.4150736842105263,0.0,0.9544538669123162,0.0
